Community Area,Cancer (All Sites) per (100k),Per Capita Income,Birth Rate per (1k),General Fertility Rate per (1k),Homicides per (100k),Infant Mortality Rate per (1k),% Crowded Housing,Unemployment
1,176.9,23714,16.4,62.0,7.7,6.4,7.9,7.5
2,155.9,21375,17.3,83.3,5.8,5.1,7.0,7.9
3,183.3,32355,13.1,50.5,5.4,6.5,4.6,7.7
4,153.2,35503,17.1,61.0,5.0,3.8,3.1,6.8
5,152.1,51615,22.4,76.2,1.0,2.7,0.2,4.5
6,126.9,58227,13.5,38.7,1.4,2.2,1.2,4.7
7,152.9,71403,13.2,38.7,0.7,2.4,0.6,4.5
8,142.7,87163,10.7,35.9,3.7,6.5,2.0,5.2
9,189.7,38337,11.3,59.5,0.0,4.6,0.6,7.4
10,180.8,31659,10.4,59.6,4.7,4.4,2.3,7.3
11,208.2,27280,13.8,67.8,4.8,8.3,1.9,9.0
12,138.7,41509,10.0,60.6,3.3,3.8,1.3,5.5
13,143.7,24941,10.9,54.2,3.0,5.4,3.8,7.5
14,158.1,20355,18.3,76.5,4.7,4.9,11.2,9.0
15,168.7,23617,14.2,66.1,3.3,4.7,4.4,10.6
16,169.4,26713,15.8,67.1,4.1,5.3,5.6,10.3
17,191.5,26347,12.5,64.7,3.7,4.9,4.8,8.6
18,151.0,21257,17.1,83.5,8.6,4.6,5.8,10.8
19,152.6,15246,20.0,88.6,7.0,5.6,10.0,11.5
20,135.2,15411,20.3,86.7,12.7,9.3,8.4,12.9
21,133.9,20489,18.5,77.7,4.7,5.7,5.8,9.3
22,148.7,29026,18.2,63.5,8.6,4.3,3.2,7.5
23,211.1,13391,19.2,80.7,29.0,9.8,11.2,12.3
24,139.6,39596,18.8,60.4,8.5,5.1,2.0,6.0
25,261.9,15920,18.0,80.1,34.4,13.3,5.7,21.0
26,291.5,10951,20.1,88.4,40.0,19.0,8.9,25.2
27,236.8,13596,19.4,80.8,38.4,11.0,7.5,16.4
28,202.0,41488,18.2,55.6,12.7,9.1,3.8,10.7
29,261.5,12548,20.6,86.3,46.7,14.1,7.2,18.5
30,127.4,10697,19.5,94.9,11.1,5.9,17.6,11.5
31,141.3,15467,16.5,68.2,11.7,5.4,10.4,13.0
32,120.1,67699,9.4,27.7,0.7,5.7,2.0,4.2
33,169.0,60593,21.4,72.9,4.8,4.8,1.4,5.7
34,162.9,16942,11.5,57.1,1.8,1.5,5.9,11.6
35,269.9,23098,10.3,42.2,13.6,13.4,1.6,16.7
36,159.7,19312,17.5,63.9,18.9,8.2,3.5,26.6
37,258.9,9016,11.9,60.4,49.6,22.6,4.5,40.0
38,218.3,22056,14.3,58.2,32.1,12.1,2.7,20.6
39,196.4,37519,12.2,51.1,15.2,8.9,2.3,11.0
40,258.0,13087,19.3,72.1,44.6,19.3,4.9,23.2
41,144.0,39243,9.7,33.9,5.8,10.4,2.5,6.9
42,241.3,18928,15.1,60.1,31.1,11.5,1.8,17.3
43,246.0,18366,15.7,67.9,33.4,11.4,2.9,17.7
44,213.5,20320,14.4,71.3,45.2,10.9,2.2,19.0
45,239.6,23495,13.3,69.6,22.1,11.4,0.6,16.6
46,227.3,15393,18.1,82.2,36.9,17.7,5.9,17.7
47,191.2,13756,12.9,64.0,70.3,13.0,5.5,23.4
48,216.6,28977,10.0,57.4,19.5,13.9,1.8,17.2
49,258.5,17974,14.3,68.8,40.9,9.6,3.1,17.8
50,262.5,19007,14.3,66.5,32.2,13.6,1.4,21.0
51,224.0,15506,15.8,76.7,41.3,11.8,6.0,11.8
52,182.9,15347,17.7,85.8,10.7,3.7,8.3,14.5
53,263.6,16228,15.3,71.2,43.9,11.9,3.3,17.0
54,258.3,8535,12.5,46.1,33.0,8.7,5.1,26.4
55,210.0,22561,13.7,73.2,6.9,8.4,4.4,9.6
56,231.9,24684,13.4,69.0,9.9,4.5,2.6,8.1
57,166.3,16145,18.1,80.0,16.6,5.2,8.5,14.2
58,139.1,13138,20.6,90.6,11.1,5.9,13.2,11.2
59,148.4,17577,16.7,73.9,5.1,7.3,6.9,11.9
60,168.9,24969,11.7,51.7,4.9,8.0,4.8,11.2
61,235.2,12524,21.4,93.4,26.6,7.9,12.2,17.4
62,180.6,16938,20.8,92.3,5.9,8.1,8.7,13.5
63,171.0,12014,21.8,93.2,10.8,5.4,17.4,14.0
64,189.4,23920,14.6,68.3,9.4,6.7,3.4,9.6
65,145.1,15898,18.8,83.3,10.7,8.4,6.8,7.8
66,179.3,14405,20.1,85.3,22.4,11.1,6.5,11.9
67,247.6,10559,20.3,93.3,47.2,13.3,6.9,34.7
68,252.2,11993,20.0,85.8,45.1,13.4,4.8,21.3
69,274.4,17213,18.2,82.4,49.7,14.2,4.2,18.9
70,229.3,22078,14.7,69.0,12.4,10.2,4.2,8.8
71,243.0,16022,15.1,70.5,37.6,15.6,4.1,24.2
72,197.6,40107,11.0,60.7,3.5,10.0,0.7,7.8
73,260.6,19709,12.0,61.0,38.0,11.2,1.1,18.3
74,201.1,34221,12.5,59.0,2.2,3.3,1.1,6.9
75,218.2,26185,13.2,67.5,19.9,13.1,0.8,14.9
76,138.5,29402,15.8,70.0,5.6,2.0,1.9,4.7
77,162.0,33364,12.1,48.1,5.8,6.9,3.9,9.0
