Community Area Name,Homicide_rate_per_100k,Homicide,Violence,Property Crimes,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Birth Rate,General Fertility Rate,Low Birth Weight,Preterm Births,Teen Birth Rate,Below Poverty Level,Dependency,Unemployment
Albany Park,4.699999999998016,21,6116,9053,22.900000000011115,158.10000000006494,16.799999999992508,72.1000000000313,36.90000000001572,13.099999999997985,39.099999999983844,18.299999999992167,76.5,8.5,8.29999999999675,44.5,17.09999999999301,32.0999999999854,9.0
Archer Heights,16.600000000003334,9,1856,4547,25.200000000005087,166.30000000003068,9.0,67.69999999999244,49.59999999999005,20.5,41.799999999992316,18.100000000003536,80.0,8.699999999998276,10.0,50.29999999999405,13.0,40.5,14.200000000000017
Armour Square,1.7999999999996634,5,1886,4155,10.699999999998145,162.89999999997764,23.10000000000387,42.5,54.29999999999347,17.200000000001168,38.70000000000699,11.5,57.09999999998935,12.399999999997812,11.800000000001955,16.200000000000518,35.7999999999934,37.90000000000427,11.600000000001938
Ashburn,12.400000000002027,20,6165,10392,37.19999999998178,229.29999999988732,22.800000000000328,80.10000000004051,62.80000000002978,44.5,47.399999999995835,14.70000000000716,69.0,9.0,11.29999999999419,38.30000000001904,9.5,36.699999999982154,8.799999999995846
Auburn Gresham,37.60000000005671,117,23178,26566,41.899999999939546,243.0,24.5,83.59999999988955,65.09999999996403,43.5,63.70000000010027,15.100000000002446,70.5,11.599999999984096,13.900000000005386,83.09999999989112,24.5,42.10000000006061,24.19999999996758
Austin,34.400000000085456,238,46833,46262,33.700000000113,261.8999999991132,29.799999999896578,113.89999999989708,74.59999999975985,69.80000000017915,56.800000000049636,18.0,80.09999999975076,15.399999999946944,14.299999999986374,81.80000000026216,27.0,39.0,21.0
Avalon Park,22.09999999999824,22,4111,6066,33.79999999999188,239.60000000006139,27.700000000007343,83.89999999999755,57.900000000015055,45.09999999998726,44.5,13.299999999997294,69.59999999998382,19.700000000005605,14.600000000003787,63.900000000015844,16.700000000004522,41.900000000011936,16.60000000000403
Avondale,4.699999999997963,22,6065,11394,16.599999999992527,133.89999999993825,13.4000000000037,52.699999999973365,32.5,37.69999999998128,36.0,18.5,77.69999999997009,7.299999999997348,7.5,63.3999999999731,14.599999999994695,30.40000000001465,9.299999999995412
Belmont Cragin,7.0,35,12656,21072,14.400000000014241,152.5999999998459,17.69999999998286,58.600000000057584,37.80000000003278,27.300000000027485,38.1999999999681,20.0,88.60000000000372,6.900000000004411,7.599999999993851,68.20000000006407,18.59999999998372,36.89999999996333,11.5
Beverly,3.5,2,1678,4629,42.0,197.6000000000373,24.799999999995308,59.59999999998829,47.90000000000889,44.70000000000778,57.20000000000165,11.0,60.699999999998866,4.900000000000905,9.899999999998533,11.899999999997801,5.199999999999162,38.700000000007186,7.8000000000015275
Bridgeport,4.8999999999990775,14,4326,6729,16.5,168.89999999994325,16.100000000000573,49.80000000001571,54.40000000001622,15.799999999994435,40.099999999986295,11.700000000003431,51.69999999998315,8.0,11.399999999996286,28.40000000000976,17.29999999999391,32.299999999998995,11.200000000003069
Brighton Park,11.099999999999318,48,6619,9661,26.800000000009128,139.10000000006428,12.799999999993258,69.69999999996783,27.699999999989657,15.09999999999333,38.30000000002037,20.59999999998889,90.60000000004885,7.200000000002931,8.299999999995912,58.10000000002404,23.0,39.800000000021356,11.200000000006039
