Community Area Name,Community Area,Birth Rate,General Fertility Rate,Low Birth Weight,Prenatal Care Beginning in First Trimester,Preterm Births,Teen Birth Rate,Homicide_rate_per_100k,Breast cancer in females,Cancer (All Sites),Colorectal Cancer,Diabetes-related,Firearm-related,Infant Mortality Rate,Lung Cancer,Prostate Cancer in Males,Stroke (Cerebrovascular Disease),Childhood Blood Lead Level Screening,Childhood Lead Poisoning,Gonorrhea in Females,Tuberculosis,Below Poverty Level,Crowded Housing,Dependency,No High School Diploma,Per Capita Income,Unemployment,ASSAULT,DECEPTIVE PRACTICE,OFFENSE INVOLVING CHILDREN,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL TRESPASS,WEAPONS VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,THEFT,BATTERY,OTHER OFFENSE,ROBBERY,PUBLIC PEACE VIOLATION,SEX OFFENSE,PROSTITUTION,BURGLARY,STALKING,CRIMINAL SEXUAL ASSAULT,ARSON,Homicide,GAMBLING,KIDNAPPING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,LIQUOR LAW VIOLATION,OBSCENITY,PUBLIC INDECENCY,OTHER NARCOTIC VIOLATION,NON-CRIMINAL,HUMAN TRAFFICKING,RITUALISM,Violence,Sexual Crimes,Property Crimes,Drugs
Albany Park,14,18.299999999992167,76.5,8.5,73.30000000003136,8.29999999999675,44.5,4.699999999998016,22.900000000011115,158.10000000006494,16.799999999992504,72.1000000000313,5.3000000000015,4.899999999997733,36.90000000001573,13.099999999997983,39.099999999983844,374.0999999998181,1.2000000000005009,72.89999999996802,16.799999999992504,17.09999999999301,11.200000000005423,32.0999999999854,34.9000000000153,20355,9.0,1361,811,220,103,3883,726,186,1468,1809,4851,4649,1844,883,359,161,279,1815,12,3,49,21,32,12,55,24,153,1,0,4,0,0,0,6116,546,9053,1813
Archer Heights,57,18.10000000000354,80.0,8.699999999998276,74.30000000001101,10.0,50.29999999999405,16.600000000003334,25.20000000000509,166.30000000003068,9.0,67.69999999999244,15.399999999996862,5.199999999999074,49.59999999999004,20.5,41.79999999999231,543.5,0.5,,1.5,13.0,8.5,40.5,36.40000000000514,16145,14.200000000000014,460,374,70,39,2083,147,77,732,533,2528,1340,589,411,96,57,380,858,5,0,29,9,4,14,5,4,28,1,0,0,0,0,0,1856,476,4547,533
Armour Square,34,11.5,57.099999999989336,12.399999999997812,79.09999999998583,11.800000000001956,16.20000000000052,1.7999999999996634,10.699999999998143,162.89999999997764,23.10000000000387,42.5,1.7999999999996634,1.5,54.299999999993474,17.200000000001168,38.70000000000699,490.29999999990787,0.2000000000000317,222.6000000000413,22.700000000003705,35.799999999993396,5.900000000000978,37.90000000000427,37.5,16942,11.60000000000194,447,623,33,12,1325,479,49,540,718,2545,1414,464,557,44,34,28,501,8,0,8,5,61,4,21,8,34,1,1,0,0,0,0,1886,74,4155,718
Ashburn,70,14.70000000000716,69.0,9.0,82.39999999995804,11.29999999999419,38.30000000001904,12.400000000002029,37.19999999998177,229.2999999998873,22.800000000000328,80.1000000000405,11.599999999999438,10.200000000005181,62.800000000029776,44.5,47.39999999999583,368.3000000000123,0.1999999999998985,529.0,4.399999999997923,9.5,4.19999999999807,36.699999999982154,18.29999999999196,22078,8.799999999995846,1732,1009,223,102,4676,505,238,1434,1370,4948,4325,2079,1270,264,113,31,2695,13,0,43,20,28,31,37,14,41,4,0,0,0,0,0,6165,246,10392,1370
Auburn Gresham,71,15.100000000002446,70.5,11.599999999984096,71.79999999989003,13.900000000005383,83.09999999989112,37.60000000005671,41.89999999993955,243.0,24.5,83.59999999988955,32.60000000005113,15.600000000005354,65.09999999996403,43.5,63.70000000010027,393.8000000005225,1.5,2032.199999999119,7.29999999999967,24.5,4.099999999997591,42.100000000060604,19.5,16022,24.19999999996758,5626,2056,764,317,9411,2368,1048,4109,10831,11911,17193,5500,4028,517,214,601,6385,40,7,109,117,319,78,185,55,110,1,1,0,0,0,0,23178,1139,26566,10831
Austin,25,18.0,80.09999999975076,15.399999999946946,72.90000000023707,14.299999999986376,81.80000000026216,34.40000000008546,33.700000000113,261.89999999911316,29.79999999989658,113.89999999989708,28.5,13.299999999999356,74.59999999975985,69.80000000017915,56.800000000049636,492.2999999983035,2.0,1741.1000000006104,5.800000000019963,27.0,5.699999999980505,39.0,25.0,15920,21.0,10491,3841,1032,710,16303,3508,2054,6685,47193,23215,35640,10884,7907,1075,427,3699,8258,41,5,267,238,1591,134,555,63,324,6,0,1,0,0,1,46833,4841,46262,47194
Avalon Park,45,13.299999999997297,69.59999999998381,19.700000000005605,74.5,14.600000000003785,63.90000000001584,22.099999999998236,33.799999999991876,239.60000000006136,27.700000000007346,83.89999999999755,18.5,11.399999999996787,57.90000000001506,45.09999999998726,44.5,434.79999999988377,0.6000000000001703,1139.9000000002186,1.9000000000004775,16.700000000004522,0.6000000000001703,41.900000000011936,13.299999999997297,23495,16.60000000000403,1099,540,115,68,1738,260,176,943,884,3054,2937,935,884,133,41,12,1156,9,0,24,22,15,18,15,11,9,1,1,0,0,0,0,4111,121,6066,884
Avondale,21,18.5,77.6999999999701,7.299999999997347,74.3999999999633,7.5,63.3999999999731,4.699999999997963,16.599999999992527,133.89999999993825,13.400000000003699,52.69999999997336,4.600000000002256,5.700000000000132,32.5,37.69999999998128,36.0,373.30000000002514,0.7000000000003614,85.30000000001064,10.100000000002701,14.599999999994694,5.799999999999671,30.40000000001465,25.69999999999428,20489,9.299999999995412,1567,983,185,105,3773,591,170,2130,1604,5897,4387,1789,1067,213,122,236,2268,16,3,57,22,9,22,33,10,100,2,0,0,0,0,0,6065,466,11394,1604
Belmont Cragin,19,20.0,88.60000000000372,6.900000000004411,74.10000000006501,7.599999999993851,68.20000000006407,7.0,14.40000000001424,152.59999999984592,17.69999999998286,58.600000000057584,5.5,5.59999999999997,37.80000000003278,27.300000000027485,38.1999999999681,421.5,0.800000000000367,95.90000000002492,9.400000000009431,18.599999999983716,10.0,36.89999999996333,37.0,15246,11.5,3217,1691,500,201,7845,1118,506,4078,3903,10544,9130,4070,1939,582,256,497,4408,12,4,171,35,22,63,120,40,188,1,1,1,0,0,0,12656,958,21072,3904
Beverly,72,11.0,60.69999999999887,4.900000000000905,84.80000000001405,9.899999999998531,11.899999999997801,3.5,42.0,197.6000000000373,24.799999999995308,59.599999999988285,3.5,10.0,47.90000000000889,44.70000000000778,57.200000000001644,179.10000000003154,1.2999999999997902,195.5,0.0,5.199999999999161,0.6999999999998783,38.700000000007186,5.099999999999073,40107,7.800000000001528,475,691,98,19,1626,303,44,480,297,2721,1159,908,352,59,40,1,1045,7,0,11,2,3,26,6,5,36,0,0,0,0,0,0,1678,60,4629,297
