City,State,2014,2015,% Change,Pop_2014,Pop_2015,2014_adj,2015_adj,Lat,Lng
Newark,New Jersey,93,104,11,48283.0,48592.0,192.6143777312926,214.02700032927228,40.735657,-74.1723667
Jacksonville,Florida,96,97,1,74217.0,74306.0,129.3504183677594,130.5412752671386,30.3321838,-81.65565099999999
Kansas City,Missouri,78,109,31,150122.0,151502.0,51.95774103728967,71.94624493406027,39.0997265,-94.5785667
St. Louis,Missouri,159,188,29,317399.0,316010.0,50.09467578662818,59.491788234549546,38.6270025,-90.19940419999999
Baltimore,Maryland,211,344,133,623587.0,622522.0,33.83649755366934,55.259091244968054,39.2903848,-76.6121893
Portland,Oregon,26,34,8,66832.0,66825.0,38.90351927220493,50.879161990273104,45.5051064,-122.6750261
Detroit,Michigan,298,295,-3,682609.0,679410.0,43.65603149094137,43.420026199202255,42.331427,-83.0457538
New Orleans,Louisiana,150,164,14,383940.0,389742.0,39.06860446944835,42.07911900693279,29.95106579999999,-90.0715323
Columbus,Ohio,83,77,-6,200563.0,198702.0,41.38350543220833,38.75149721693793,39.9611755,-82.99879419999999
Cleveland,Ohio,63,120,57,390871.0,389244.0,16.117849623021407,30.828991583685298,41.49932,-81.6943605
Milwaukee,Wisconsin,90,145,55,600664.0,600477.0,14.983418350358937,24.147469428471034,43.0389025,-87.9064736
Washington,D.C.,105,162,57,662328.0,675400.0,15.853172446280393,23.985786200769915,47.7510741,-120.7401385
Cincinnati,Ohio,60,66,6,298626.0,299439.0,20.092021458278918,22.041217075931993,39.1031182,-84.5120196
Memphis,Tennessee,140,135,-5,654990.0,654106.0,21.374372127818745,20.638856699067123,35.1495343,-90.0489801
Las Vegas,Nevada,122,127,5,607976.0,617487.0,20.06658157558851,20.56723461384612,36.1699412,-115.1398296
Oakland,California,80,85,5,412901.0,418211.0,19.375104443922393,20.324668648122596,37.8043514,-122.2711639
Atlanta,Georgia,93,94,1,461154.0,468303.0,20.16679894351995,20.07247444496405,33.7489954,-84.3879824
Pittsburgh,Pennsylvania,69,57,-12,305964.0,304070.0,22.55167274581323,18.745683559706645,40.44062479999999,-79.9958864
Philadelphia,Pennsylvania,248,280,32,1565460.0,1571065.0,15.841988936159341,17.822305251533194,39.9525839,-75.1652215
Chicago,Illinois,411,478,67,2727066.0,2724344.0,15.07114239259336,17.545508203075677,41.8781136,-87.6297982
Indianapolis,Indiana,136,148,12,850164.0,853714.0,15.996913536682333,17.336016511384376,39.768403,-86.158068
Miami,Florida,81,75,-6,425110.0,434738.0,19.053891933852416,17.251770031605243,25.7616798,-80.1917902
Stockton,California,49,49,0,301062.0,304550.0,16.275717294112177,16.089312099819406,37.9577016,-121.2907796
Buffalo,New York,60,41,-19,259548.0,258165.0,23.11711128577373,15.881316212499758,42.88644679999999,-78.8783689
Tulsa,Oklahoma,46,55,9,399892.0,403491.0,11.503105838576415,13.631035140808592,36.1539816,-95.99277500000001
Houston,Texas,242,303,61,2241826.0,2286908.0,10.794771761947628,13.249330537126985,29.7604267,-95.3698028
Durham,North Carolina,21,34,13,253290.0,258647.0,8.290891863081843,13.14532934849428,35.9940329,-78.898619
Mobile,Alabama,31,24,-7,192582.0,191975.0,16.097039183308926,12.50162781612189,36.723521,-95.93437
Aurora,Colorado,11,24,13,200189.0,200315.0,5.494807407000384,11.981129720689912,39.7294319,-104.8319195
Orlando,Florida,15,32,17,262469.0,270786.0,5.714960623921301,11.817449942020636,28.5383355,-81.3792365
Oklahoma City,Oklahoma,45,73,28,621639.0,632172.0,7.238928059532944,11.547490239997975,35.4675602,-97.5164276
Minneapolis,Minnesota,31,47,16,407067.0,411030.0,7.615453967037367,11.434688465562123,44.977753,-93.2650108
Dallas,Texas,116,136,20,1279098.0,1301329.0,9.068890733939073,10.450854472619913,32.7766642,-96.79698789999999
Jersey City,New Jersey,24,27,3,258632.0,260171.0,9.279594172414859,10.377789991966822,40.7177545,-74.0431435
Omaha,Nebraska,32,48,16,470423.0,472638.0,6.802388488658079,10.155764030822743,41.2565369,-95.9345034
Fort Wayne,Indiana,12,25,13,260570.0,262109.0,4.605288406186438,9.538016626670583,41.079273,-85.1393513
Tampa,Florida,28,34,6,362664.0,371464.0,7.720645004742682,9.152973101027285,27.950575,-82.4571776
Greensboro,North Carolina,23,26,3,282261.0,284610.0,8.148486684309912,9.135307965285831,36.0726354,-79.7919754
Sacramento,California,28,43,15,482762.0,488133.0,5.799959400284198,8.809074575986463,38.5815719,-121.4943996
Toledo,Ohio,24,24,0,280712.0,279898.0,8.549687936390322,8.574552158286233,41.6528052,-83.5378674
Denver,Colorado,31,53,22,664582.0,683285.0,4.664586160925213,7.756646201804518,39.7392358,-104.990251
Albuquerque,New Mexico,30,43,13,557444.0,557937.0,5.381706503254139,7.706963330985398,35.0843859,-106.650422
Long Beach,California,23,36,13,469109.0,470128.0,4.902911690033659,7.657489024265732,33.7700504,-118.1937395
Fresno,California,47,39,-8,514100.0,518203.0,9.14219023536277,7.526008147386256,36.7377981,-119.7871247
Los Angeles,California,260,282,22,3909901.0,3938568.0,6.649784738795177,7.15996270725807,34.0522342,-118.2436849
Phoenix,Arizona,114,112,-2,1555445.0,1583690.0,7.329092317632575,7.07209112894569,33.4483771,-112.0740373
Wichita,Kansas,26,27,1,388416.0,389412.0,6.693854012193112,6.933530553757973,37.68717609999999,-97.33005299999999
Fort Worth,Texas,54,56,2,815057.0,835356.0,6.6253035063805354,6.703728709675875,32.7554883,-97.3307658
San Antonio,Texas,103,94,-9,1435456.0,1464043.0,7.1754202149003525,6.420576444817536,29.4241219,-98.49362819999999
San Francisco,California,45,53,8,850750.0,863010.0,5.289450484866295,6.141296161110532,37.7749295,-122.4194155
Bakersfield,California,17,22,5,366954.0,371348.0,4.632733258119546,5.924362053922466,35.3732921,-119.0187125
Tucson,Arizona,35,31,-4,534800.0,535607.0,6.544502617801048,5.787825775241922,32.2226066,-110.9747108
Boston,Massachusetts,53,38,-15,662855.0,670491.0,7.995715503390636,5.667488452492278,42.3600825,-71.0588801
Colorado Springs,Colorado,20,25,5,442361.0,449572.0,4.5211942282434485,5.56084453658146,38.8338816,-104.8213634
St. Petersburg,Florida,19,14,-5,252225.0,255041.0,7.532956685499058,5.4893134829301955,27.7676008,-82.64029149999999
St. Paul,Minnesota,11,16,5,297655.0,299915.0,3.695553577127883,5.334844872713935,44.9537029,-93.0899578
Corpus Christi,Texas,27,17,-10,320765.0,324672.0,8.417377207613049,5.23605361718904,27.8005828,-97.39638099999999
Anaheim,California,14,18,4,344604.0,348251.0,4.062634212023076,5.168685804204438,33.8365932,-117.9143012
Virginia Beach,Virginia,17,19,2,448864.0,450304.0,3.7873387039281385,4.219371802160318,36.8529263,-75.97798499999999
New York,New York,333,352,19,8433806.0,8463049.0,3.9483953033778576,4.159257496913938,40.7127753,-74.0059728
Raleigh,North Carolina,16,17,1,439503.0,449546.0,3.640475719164602,3.7815929849225665,35.7795897,-78.6381787
Santa Ana,California,18,12,-6,333431.0,333417.0,5.39841826344881,3.5990966267466864,33.7454725,-117.867653
Seattle,Washington,26,23,-3,670109.0,687386.0,3.8799657966092083,3.346009374645396,47.6062095,-122.3320708
Mesa,Arizona,13,16,3,473132.0,481811.0,2.7476475909471354,3.320804215760952,33.4151843,-111.8314724
Laredo,Texas,14,8,-6,252734.0,255271.0,5.539420893112917,3.13392433923164,27.5035613,-99.5075519
Riverside,California,12,10,-2,317702.0,320483.0,3.7771244751370783,3.120290311810611,33.9806005,-117.3754942
San Jose,California,32,30,-2,1014273.0,1025980.0,3.1549691256693215,2.924033606892922,37.3382082,-121.8863286
San Diego,California,32,37,5,1375831.0,1387323.0,2.325867057799977,2.6670068902483415,32.715738,-117.1610838
El Paso,Texas,21,17,-4,677235.0,676242.0,3.100843872511019,2.5138929554804346,31.7618778,-106.4850217
Austin,Texas,32,23,-9,901170.0,921114.0,3.5509393344208084,2.4969764871666267,30.267153,-97.7430608
Chula Vista,California,7,6,-1,259885.0,264206.0,2.693499047655694,2.27095523947223,32.6400541,-117.0841955
Arlington,Texas,13,8,-5,382721.0,388728.0,3.396730255198957,2.057994278775905,32.735687,-97.10806559999999
Henderson,Nevada,3,4,1,274255.0,282167.0,1.093872490929974,1.4176002154752327,36.0395247,-114.9817213
Plano,Texas,4,4,0,278226.0,283887.0,1.4376801592949617,1.4090113319736375,33.0198431,-96.6988856
Irvine,California,0,2,2,247136.0,255382.0,0.0,0.7831405502345506,33.6845673,-117.8265049
Chandler,Arizona,1,1,0,240888.0,243679.0,0.41513068313905216,0.41037594540358424,33.3061605,-111.8412502
Lincoln,Nebraska,7,1,-6,274128.0,277345.0,2.5535516255180064,0.3605617552146244,40.813616,-96.7025955
Louisville,Kentucky,56,81,25,,,,,38.2526647,-85.7584557
Nashville,Tennessee,41,72,31,,,,,36.1626638,-86.7816016
Charlotte-Mecklenburg,North Carolina,47,61,14,,,,,35.2632655,-80.8543847
Anchorage,Alaska,12,26,14,,,,,61.2180556,-149.9002778
Lexington,Kentucky,20,15,-5,,,,,38.0405837,-84.5037164
Honolulu,Hawaii,21,15,-6,,,,,21.3069444,-157.8583333
