State,Year,Population,House_Income,Per_Cap_Income,Pov_Rate,Unemp_Rate,Geo,Lat,Lng,Crime_Prop,Crime_Viol,Burglary,Larceny,Motor,Assault,Murder,Rape,Robbery,Crime_Tot,All causes,Alzheimer,CLRD,Cancer,Diabetes,Heart,Pneumonia,Kidney,Stroke,Suicide,Injuries
Alabama,2011,4747424.0,42934.0,23483.0,17.133186334315198,4.54020959577236,South,32.7794,-86.8287,3648.1258046468993,424.77773209218304,1076.7734249142272,2346.767425871378,224.58495386129405,286.28157080555684,6.298152429612354,28.857755279494732,103.3402535775191,4072.9035367390825,1025.4192589496956,31.301185653524946,61.33852801013772,215.548474288372,26.919862224229394,251.5469441954205,20.03191625605802,22.054065531117505,54.092493107841214,13.77589193634274,56.072514273003634
Alaska,2011,700703.0,69014.0,31944.0,9.292239365323109,4.414423800097903,North,64.0685,-152.2782,2724.977629609121,630.2242176785314,407.0198072507182,2119.8710437945892,198.08677856381377,481.516419938262,4.281414522272632,62.22322439036225,82.20315882763454,3355.2018472876525,549.3054832075786,10.275394853454317,27.686480577363017,133.437419277497,15.270378462772387,105.46551106531584,8.277401409727089,7.56383232268165,23.975921324726738,20.408075889499546,54.944819702498776
Arizona,2011,6337373.0,50752.0,25784.0,15.835820299673069,4.234609514068369,South,34.2744,-111.6602,3627.622991419315,422.7145853652609,863.0547704861306,2452.1201450506387,312.4480758825463,264.27354047173804,6.26442533838548,39.43274287311162,112.74387668202583,4050.337576784576,763.4235826106495,37.050052127277354,49.95760861795574,168.68188127793644,27.456171508289003,168.24005782837781,10.887792149838743,6.2328665205598615,33.894170344715384,18.304114338859332,48.85304999405905
Arkansas,2011,2895928.0,40149.0,21833.0,17.846507233605255,3.940015083247926,South,34.8938,-92.4426,3813.2854131732556,489.41133895594095,1174.6148384904598,2439.4598208242746,199.21075385852137,360.0227629968701,5.524999240312605,42.47343165990315,81.39014505885505,4302.696752129196,1023.9550154561853,34.60030774245769,68.54452182512826,224.34950040194371,31.354370688774033,247.51996596600463,25.104215298170395,27.176090013287624,58.4268669663058,15.953435306402644,52.1421803304502
California,2011,36969200.0,61632.0,29634.0,14.096818432641225,5.0552108241455045,South,37.1841,-119.4696,2634.144098330502,419.1137487421962,622.3423823074343,1614.6008028304643,397.20091319260354,246.6783160035922,4.847278274888286,20.733475433604188,146.85467903011155,3053.2578470726985,649.0321673176592,31.25574802808825,36.13007584692122,152.69197061337547,20.81462406543826,161.68053406619563,16.770717245707235,7.030176471224696,36.52499918851368,10.80899776029776,29.27842636573147
Colorado,2011,4966061.0,57685.0,30816.0,12.237606424890876,4.093364942557089,South,38.9972,-105.5478,2673.769009281199,323.8985586363115,518.0161902964945,1934.209024013197,221.5437949715076,208.3341304103997,3.1211859862373816,46.012322442273664,66.43091979740079,2997.6675679175105,655.7108339990185,26.31864570330489,43.314006815462,141.9837573481276,15.90798018791956,124.38429572250523,12.444470577385175,9.061507701979496,32.33951415417571,18.38479229312729,46.91847321247162
Connecticut,2011,3558172.0,69243.0,37627.0,9.183676337175381,4.598822091793203,North,41.6219,-72.7273,2169.793927893312,277.9236079649888,434.7176021844925,1547.620519750029,187.45580595879008,151.25744342881683,3.625457116744216,19.36387560803694,103.6768318113908,2447.7175358583004,829.8081149534088,22.848811131108896,39.76761100924857,192.14922718744342,19.44818856424029,202.519720800456,19.560605839178095,16.918799878139673,36.957179135803436,10.398597931746977,37.63168278543027
Delaware,2011,890856.0,59317.0,29659.0,10.866514902520723,3.9547356699623735,South,38.9896,-75.505,3498.0962130804533,577.4221647494095,855.0203399876074,2469.6471708109952,173.42870228185026,362.68487836418007,5.3880761873972896,34.461237281895166,174.88797291593704,4075.518377829863,880.6137018777446,22.787072209201035,51.63573012922402,213.95152527456744,25.144355541187352,203.06312131253532,14.929461102579989,16.725486498379087,46.92116346525141,11.786416659931572,37.941036486255925
District of Columbia,2011,593955.0,61835.0,43993.0,17.144901549780712,5.639316109806298,South,38.9101,-77.0147,4992.634122113628,1251.44160752919,648.1972540007239,3594.043319780118,750.3935483327862,514.8538188920036,18.183195696643683,29.126785699253308,689.2778072412893,6244.075729642818,772.6174541842395,20.203550774048537,25.422801390677748,180.14832773526612,25.591164313794817,197.1529829700903,16.162840619238832,10.101775387024269,35.187850931467864,6.229428155331633,31.14714077665816
Florida,2011,18688787.0,47827.0,26733.0,14.336939042646264,5.072977716531309,South,28.6305,-82.4497,3591.4583434441197,525.4380608008428,910.5513375480174,2468.902877431264,212.0041284648383,354.85984189343054,5.265189228171951,28.214779268445835,137.09825041079446,4116.8964042449625,930.9111393906944,24.116064889604655,55.000894386564525,223.02678071080803,27.25163489743877,218.94946954021145,13.125517456001825,16.116615808184875,45.00559613633565,15.410309936113029,47.627489146299325
