State_Name,House_Income,Population,Med_Age,Per_Cap_Income,Pov_Rate,Unemp_Rate,Year,Lat,Lng,Geo
Alabama,42934.0,4747424.0,37.7,23483.0,17.133186334315198,4.54020959577236,2011,32.7794,-86.8287,South
Alaska,69014.0,700703.0,33.8,31944.0,9.29223936532311,4.414423800097902,2011,64.0685,-152.2782,North
Arizona,50752.0,6337373.0,35.7,25784.0,15.835820299673067,4.234609514068369,2011,34.2744,-111.6602,South
Arkansas,40149.0,2895928.0,37.3,21833.0,17.846507233605255,3.940015083247926,2011,34.8938,-92.4426,South
California,61632.0,36969200.0,35.1,29634.0,14.096818432641225,5.0552108241455045,2011,37.1841,-119.4696,South
Colorado,57685.0,4966061.0,35.9,30816.0,12.237606424890874,4.093364942557089,2011,38.9972,-105.5478,South
Connecticut,69243.0,3558172.0,39.8,37627.0,9.183676337175381,4.598822091793202,2011,41.6219,-72.7273,North
Delaware,59317.0,890856.0,38.6,29659.0,10.866514902520722,3.9547356699623735,2011,38.9896,-75.505,South
District of Columbia,61835.0,593955.0,34.1,43993.0,17.14490154978071,5.639316109806298,2011,38.9101,-77.0147,South
Florida,47827.0,18688787.0,40.5,26733.0,14.336939042646266,5.072977716531308,2011,28.6305,-82.4497,South
Georgia,49736.0,9600612.0,35.2,25383.0,16.055872271476026,4.888396698043833,2011,32.6415,-83.4426,South
Hawaii,67116.0,1346554.0,38.4,29203.0,9.9800676393223,3.21368470926528,2011,20.2927,-156.3737,South
Idaho,46890.0,1549987.0,34.5,22788.0,13.982955986082464,3.8626775579408084,2011,44.3509,-114.613,North
Illinois,56576.0,12790182.0,36.4,29376.0,12.825681448473524,4.868789200966804,2011,40.0417,-89.1965,North
Indiana,48393.0,6454254.0,36.8,24497.0,13.71421081351927,4.558915716673066,2011,39.8942,-86.2816,North
Iowa,50451.0,3032266.0,38.0,26110.0,11.46126362265052,2.9869081406446534,2011,42.0751,-93.49600000000001,North
Kansas,50594.0,2830985.0,36.1,26545.0,12.263717398714581,3.3729956181329115,2011,38.4937,-98.3804,South
Kentucky,42248.0,4316040.0,37.8,23033.0,17.537997794274382,4.228575268069805,2011,37.5347,-85.3021,South
Louisiana,44086.0,4484596.0,35.9,23853.0,17.854562596051014,3.8362429971395415,2011,31.0689,-91.9968,South
Maine,47898.0,1328543.0,42.4,26195.0,12.430610074344601,3.7835433252819066,2011,45.3695,-69.2428,North
Maryland,72419.0,5736545.0,37.8,35751.0,8.761545494718511,3.9675449246889896,2011,39.055,-76.7909,South
Massachusetts,65981.0,6512227.0,38.9,35051.0,10.341577466510305,4.414403859079236,2011,42.2596,-71.8083,North
Michigan,48669.0,9920621.0,38.5,25482.0,15.306078117488815,6.063279707994086,2011,44.3467,-85.4102,North
Minnesota,58476.0,5278190.0,37.3,30310.0,10.70734475265195,3.8204194998664316,2011,46.2807,-94.3053,North
Mississippi,38718.0,2956700.0,35.9,20521.0,20.895085737477594,4.560083877295634,2011,32.7364,-89.6678,South
Missouri,47202.0,5955802.0,37.7,25371.0,13.912735849848602,4.1104791596496995,2011,38.3566,-92.458,North
Montana,45324.0,982854.0,39.8,24640.0,14.234464121832948,3.3215513189141013,2011,47.0527,-109.6333,South
Nebraska,50695.0,1813061.0,36.3,26113.0,11.679254035026952,2.9814220260653115,2011,41.5378,-99.7951,North
Nevada,55553.0,2673396.0,36.1,27625.0,12.751683626368859,5.43477285071123,2011,39.3289,-116.6312,South
New Hampshire,64664.0,1315911.0,40.7,32357.0,7.723470660249819,3.5464404507599676,2011,43.6805,-71.5811,North
