City,Cens_2010,Base_2010,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Lat,Lng,State
New York,8175133,8175031.0,8190209.0,8272948.0,8346693.0,8396091.0,8433806.0,8463049.0,8469153.0,8437478.0,8390081.0,8336817.0,40.7127753,-74.0059728, New York
Los Angeles,3792621,3793139.0,3795512.0,3820876.0,3851202.0,3881622.0,3909901.0,3938568.0,3963226.0,3975788.0,3977596.0,3979576.0,34.0522342,-118.2436849, California
Chicago,2695598,2695652.0,2697477.0,2708114.0,2719141.0,2725731.0,2727066.0,2724344.0,2716723.0,2711069.0,2701423.0,2693976.0,41.8781136,-87.6297982, Illinois
Houston,2099451,2095517.0,2100280.0,2126032.0,2161593.0,2199391.0,2241826.0,2286908.0,2309544.0,2316750.0,2318573.0,2320268.0,29.7604267,-95.3698028, Texas
Phoenix,1445632,1446691.0,1449038.0,1469796.0,1499274.0,1526491.0,1555445.0,1583690.0,1612199.0,1633560.0,1654675.0,1680992.0,33.4483771,-112.0740373, Arizona
Philadelphia,1526006,1526012.0,1528283.0,1540466.0,1551824.0,1558313.0,1565460.0,1571065.0,1576051.0,1580601.0,1583592.0,1584064.0,39.9525839,-75.1652215, Pennsylvania
San Antonio,1327407,1326161.0,1332299.0,1357120.0,1383075.0,1408339.0,1435456.0,1464043.0,1487843.0,1511154.0,1530016.0,1547253.0,29.4241219,-98.49362819999999, Texas
San Diego,1307402,1301929.0,1305906.0,1319592.0,1336776.0,1355320.0,1375831.0,1387323.0,1402089.0,1412621.0,1421917.0,1423851.0,32.715738,-117.1610838, California
Dallas,1197816,1197658.0,1200350.0,1218282.0,1242115.0,1258835.0,1279098.0,1301329.0,1323916.0,1342479.0,1341802.0,1343573.0,32.7766642,-96.79698789999999, Texas
San Jose,945942,952528.0,954940.0,970369.0,983530.0,1001279.0,1014273.0,1025980.0,1030242.0,1032335.0,1028020.0,1021795.0,37.3382082,-121.8863286, California
Austin,790390,801829.0,806164.0,828459.0,854482.0,875003.0,901170.0,921114.0,939447.0,951553.0,962469.0,978908.0,30.267153,-97.7430608, Texas
Jacksonville,821784,821750.0,823114.0,829609.0,837013.0,842735.0,852494.0,865836.0,880520.0,892025.0,902437.0,911507.0,30.3321838,-81.65565099999999, Florida
Fort Worth,741206,744824.0,748441.0,764142.0,781046.0,796073.0,815057.0,835356.0,856177.0,874809.0,893216.0,909585.0,32.7554883,-97.3307658, Texas
Columbus,787033,789018.0,790943.0,800607.0,812740.0,827797.0,841673.0,854950.0,866894.0,881694.0,890869.0,898553.0,40.1426554,-82.98778659999999, Ohio
Charlotte,731424,735607.0,738444.0,754829.0,773264.0,792047.0,807400.0,825668.0,843117.0,860002.0,872514.0,885708.0,35.2270869,-80.8431267, North Carolina
San Francisco,805235,805184.0,805505.0,815650.0,828876.0,839572.0,850750.0,863010.0,871512.0,878040.0,880696.0,881549.0,37.7749295,-122.4194155, California
Indianapolis,820445,820457.0,821579.0,827664.0,835499.0,844696.0,850164.0,853714.0,859049.0,863478.0,870960.0,876384.0,39.768403,-86.158068, Indiana
